Solution;Hotel;IsValid;ReportedAttractions;CalculatedAttractions;ReportedQuality;CalculatedQuality;ReportedTime;CalculatedTime;ReportedCost;CalculatedCost;Errors
67;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
68;Auberge L'Apero;True;1.0;1;12.2;12.2;78.0;78.0;29.8;29.80;
69;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
70;Auberge L'Apero;True;1.0;1;12.5;12.5;176.5;176.5;25.25;25.25;
71;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
72;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
73;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
74;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
75;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
76;Auberge L'Apero;True;1.0;1;12.2;12.2;78.0;78.0;29.8;29.80;
77;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
78;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
79;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
80;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
81;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
82;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
83;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
84;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
85;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
86;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
87;Auberge L'Apero;True;1.0;1;12.2;12.2;78.0;78.0;29.8;29.80;
88;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
89;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
90;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
91;Auberge L'Apero;True;1.0;1;12.2;12.2;78.0;78.0;29.8;29.80;
92;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
93;Auberge L'Apero;True;1.0;1;12.2;12.2;69.4;69.4;34.65;34.65;
94;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
95;Auberge L'Apero;True;1.0;1;12.2;12.2;78.0;78.0;29.8;29.80;
96;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
97;Sonder Maisonneuve;True;2.0;2;18.0;18.0;243.5;243.4;228.25;228.25;
98;Sonder Maisonneuve;True;5.0;5;31.4;31.4;494.8;494.8;268.25;268.25;
99;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
100;Sonder Maisonneuve;True;9.0;9;49.4;49.4;934.1;934.1;334.22;334.22;
101;Sonder Maisonneuve;True;9.0;9;49.4;49.4;902.8;902.8;352.07;352.07;
102;Sonder Maisonneuve;True;9.0;9;49.4;49.4;942.0;942.0;324.83;324.83;
103;Alternative Hostel of Old Montreal;True;2.0;2;17.8;17.8;206.6;206.6;49.75;49.75;
104;Auberge L'Apero;True;2.0;2;16.6;16.6;242.2;242.2;25.25;25.25;
105;Sonder Maisonneuve;True;7.0;7;40.8;40.8;858.2;858.2;331.45;331.45;
106;Sonder Maisonneuve;True;9.0;9;49.4;49.4;918.8;918.8;342.38;342.38;
107;Sonder Maisonneuve;True;8.0;8;44.9;44.9;969.1;969.1;308.0;308.00;
108;Sonder Maisonneuve;True;1.0;1;13.6;13.6;89.5;89.5;228.25;228.25;
109;Samesun Montreal Central;True;6.0;6;36.0;36.0;594.6;594.6;104.0;104.00;
110;Sonder Maisonneuve;True;6.0;6;36.8;36.8;635.3;635.3;284.25;284.25;
111;Hotel Chrome Montreal;True;7.0;7;36.8;36.8;820.6;820.6;238.5;238.50;
112;Sonder Maisonneuve;True;9.0;9;49.3;49.3;944.2;944.1;311.88;311.88;
113;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
114;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
115;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
116;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
117;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
118;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
119;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
120;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
121;Alternative Hostel of Old Montreal;True;2.0;2;17.9;17.9;159.8;159.8;51.75;51.75;
122;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
123;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
124;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
125;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
126;Sonder Maisonneuve;True;6.0;6;36.6;36.6;747.6;747.6;228.25;228.25;
127;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
128;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
129;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
130;Sonder Maisonneuve;True;1.0;1;13.9;13.9;95.7;95.7;243.05;243.05;
131;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
132;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
133;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
134;Sonder Maisonneuve;True;1.0;1;13.9;13.9;101.8;101.8;228.25;228.25;
135;Alternative Hostel of Old Montreal;True;2.0;2;17.4;17.4;166.1;166.1;35.75;35.75;
136;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
137;Alternative Hostel of Old Montreal;True;1.0;1;13.6;13.6;140.4;140.4;35.75;35.75;
138;Alternative Hostel of Old Montreal;True;4.0;4;26.9;26.9;396.4;396.4;35.75;35.75;
139;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
140;Alternative Hostel of Old Montreal;True;2.0;2;17.4;17.4;151.1;151.1;49.92;49.92;
141;Auberge L'Apero;True;1.0;1;12.2;12.2;86.8;86.8;25.25;25.25;
142;Alternative Hostel of Old Montreal;True;5.0;5;30.6;30.6;399.2;399.2;49.75;49.75;
143;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
144;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
145;Alternative Hostel of Old Montreal;True;5.0;5;31.0;31.0;399.1;399.1;51.75;51.75;
146;Auberge L'Apero;True;3.0;3;21.3;21.3;282.4;282.4;25.25;25.25;
147;Alternative Hostel of Old Montreal;True;4.0;4;26.3;26.3;338.6;338.6;35.75;35.75;
148;Deluxe Suites Downtown Montreal;True;1.0;1;14.2;14.2;90.0;90.0;243.25;243.25;
149;Deluxe Suites Downtown Montreal;True;1.0;1;14.2;14.2;90.0;90.0;243.25;243.25;
150;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
151;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
152;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
153;Alternative Hostel of Old Montreal;True;6.0;6;35.2;35.2;741.2;741.1;35.75;35.75;
154;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
155;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
156;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
157;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
158;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
159;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
160;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
161;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
162;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
163;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
164;Alternative Hostel of Old Montreal;True;7.0;7;39.7;39.7;913.9;913.9;35.75;35.75;
165;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
166;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
167;Alternative Hostel of Old Montreal;True;5.0;5;30.8;30.8;628.7;628.7;35.75;35.75;
168;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
169;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
170;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
171;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;70.1;70.1;39.68;39.68;
172;Alternative Hostel of Old Montreal;True;2.0;2;18.2;18.2;246.4;246.3;35.75;35.75;
173;Alternative Hostel of Old Montreal;True;3.0;3;22.3;22.3;266.0;266.0;35.75;35.75;
174;Auberge L'Apero;True;1.0;1;12.6;12.6;143.2;143.2;29.98;29.98;
175;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
176;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
177;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
178;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
179;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
180;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
181;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
182;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
183;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
184;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
185;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
186;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
187;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
188;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
189;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
190;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
191;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
192;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
193;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
194;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
195;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
196;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
197;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
198;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
199;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
200;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
201;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
202;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
203;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
204;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
205;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
206;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
207;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
208;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
209;Alternative Hostel of Old Montreal;True;1.0;1;13.6;13.6;140.4;140.4;35.75;35.75;
210;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
211;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
212;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
213;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
214;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
215;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
216;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
217;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
218;Alternative Hostel of Old Montreal;True;1.0;1;13.6;13.6;140.4;140.4;35.75;35.75;
219;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
220;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
221;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
222;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
223;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
224;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
225;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
226;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
227;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
228;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
229;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
230;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
231;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
232;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
233;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
234;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
235;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
236;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
237;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
238;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
239;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
240;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
241;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
242;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.0;125.0;56.8;56.80;
243;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
244;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
245;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
246;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
247;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
248;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
249;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
250;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
251;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
252;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
253;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
254;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
255;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
256;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
257;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
258;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
259;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
260;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
261;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
262;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
263;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
264;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
265;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
266;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
267;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
268;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
269;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
270;Alternative Hostel of Old Montreal;True;1.0;1;13.2;13.2;72.3;72.3;35.75;35.75;
271;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
272;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
273;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
274;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
275;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
276;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
277;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
278;Alternative Hostel of Old Montreal;True;1.0;1;13.5;13.5;133.2;133.2;35.75;35.75;
279;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
280;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
281;Alternative Hostel of Old Montreal;True;1.0;1;13.7;13.7;125.8;125.8;51.75;51.75;
