,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Auberge Manoir Ville-Marie,N,50.016666666666666,N,59.56666666666667,N,34.43333333333333,N,35.333333333333336,39.88333333333333,N,N,N,34.35,N,36.166666666666664,N,47.03333333333333,N,N,N,33.43333333333333,29.55,N,N,46.81666666666667,34.016666666666666,31.766666666666666,32.666666666666664,N,28.75,49.266666666666666,N,49.05,N,N,N,N,N,N,N,N,33.43333333333333,45.45,N,N,N,N,N,N,45.43333333333333
Quality Inn Centre-Ville,N,N,29.716666666666665,43.75,19.65,18.616666666666667,N,13.533333333333333,24.066666666666666,N,20.05,28.333333333333332,N,N,14.366666666666667,N,N,N,N,21.5,N,13.733333333333333,N,N,31.0,18.2,N,N,N,N,33.45,N,N,18.916666666666668,N,N,N,N,N,N,N,17.616666666666667,26.2,32.85,N,N,N,N,N,N
Four Seasons Hotel Montreal,N,N,35.25,N,25.183333333333334,N,N,27.05,N,N,25.583333333333332,33.86666666666667,N,N,27.883333333333333,N,N,N,N,27.033333333333335,N,N,N,N,29.533333333333335,N,N,N,21.65,N,N,N,N,24.45,N,14.65,N,N,N,N,N,N,N,46.36666666666667,N,N,24.833333333333332,N,N,35.15
Best Western Plus Hotel Montreal,N,N,31.2,44.233333333333334,21.133333333333333,N,N,16.433333333333334,22.55,N,21.533333333333335,29.816666666666666,N,N,17.266666666666666,N,N,N,N,22.983333333333334,N,N,N,N,31.483333333333334,N,N,N,N,N,31.933333333333334,N,N,20.4,N,N,N,N,N,N,N,N,27.95,35.75,N,N,N,N,N,N
Residence Inn Montreal Downtown,N,N,32.483333333333334,39.516666666666666,22.416666666666668,N,N,23.283333333333335,17.833333333333332,23.8,22.816666666666666,31.1,N,N,24.116666666666667,N,N,N,N,24.266666666666666,N,N,N,N,26.766666666666666,N,N,N,20.233333333333334,N,27.216666666666665,N,N,21.683333333333334,N,11.883333333333333,23.8,N,30.166666666666668,N,N,N,N,42.6,N,N,22.066666666666666,N,N,32.38333333333333
Comfort Suites Downtown,N,N,40.666666666666664,38.25,30.6,N,N,31.016666666666666,N,20.966666666666665,31.0,39.28333333333333,N,N,31.85,N,32.71666666666667,N,N,32.45,N,N,N,N,25.5,N,N,N,18.016666666666666,N,N,N,N,29.866666666666667,N,17.616666666666667,20.966666666666665,N,N,N,N,N,N,50.333333333333336,N,N,20.8,N,N,31.116666666666667
Alt Hotel Montreal,N,N,53.21666666666667,48.25,43.15,N,N,38.016666666666666,N,N,43.55,51.833333333333336,N,N,38.85,N,39.71666666666667,N,N,45.0,N,N,N,N,36.5,N,N,N,N,N,N,N,N,42.416666666666664,N,N,N,N,N,N,N,N,N,N,N,N,27.8,N,N,39.11666666666667
Hilton Garden Inn Montreal Centre-Ville,N,N,33.28333333333333,44.31666666666667,23.216666666666665,N,N,24.083333333333332,22.633333333333333,N,23.616666666666667,31.9,N,N,24.916666666666668,N,N,N,N,25.066666666666666,N,N,N,N,31.566666666666666,N,N,N,N,N,32.016666666666666,N,N,22.483333333333334,N,N,N,N,N,N,N,N,N,43.4,N,N,N,N,N,N
Lelux Hotel,N,N,29.483333333333334,43.516666666666666,19.416666666666668,18.383333333333333,N,13.3,23.833333333333332,N,19.816666666666666,28.1,N,N,14.133333333333333,N,N,N,N,21.266666666666666,N,13.5,N,N,30.766666666666666,17.966666666666665,N,N,N,N,33.21666666666667,N,N,18.683333333333334,N,N,N,N,N,N,N,17.383333333333333,25.966666666666665,32.61666666666667,N,N,N,N,N,22.383333333333333
Empire Suites,N,N,28.983333333333334,43.016666666666666,18.916666666666668,17.883333333333333,N,12.8,23.333333333333332,N,19.316666666666666,27.6,N,N,13.633333333333333,N,N,N,N,20.766666666666666,N,13.0,N,N,30.266666666666666,17.466666666666665,N,N,N,12.2,32.71666666666667,N,N,18.183333333333334,N,N,N,N,N,N,N,16.883333333333333,25.466666666666665,32.11666666666667,N,N,N,N,N,21.883333333333333
