,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Le St-Martin Hotel Particulier Montreal,20.916666666666668,N,59.03333333333333,37.25,53.1,N,17.383333333333333,32.833333333333336,26.566666666666666,22.683333333333334,48.8,46.95,N,N,33.65,20.466666666666665,31.733333333333334,22.6,N,53.916666666666664,N,N,21.883333333333333,19.75,46.166666666666664,N,N,N,22.95,N,24.633333333333333,N,N,57.766666666666666,19.933333333333334,N,22.683333333333334,N,N,N,57.25,N,34.7,37.38333333333333,N,N,24.533333333333335,N,17.4,33.766666666666666
Auberge Du Vieux Port,N,47.06666666666667,59.75,53.28333333333333,53.2,30.316666666666666,N,33.083333333333336,27.55,N,54.4,61.916666666666664,24.666666666666668,N,33.9,N,32.88333333333333,N,N,55.03333333333333,N,22.25,22.133333333333333,N,52.45,27.05,16.85,N,N,N,28.566666666666666,N,34.916666666666664,52.71666666666667,N,N,N,N,N,N,53.88333333333333,28.1,28.45,37.63333333333333,38.016666666666666,N,19.5,N,N,35.21666666666667
L'Appartement Hotel,N,N,53.65,38.93333333333333,47.71666666666667,N,N,39.21666666666667,31.716666666666665,27.866666666666667,43.416666666666664,41.56666666666667,N,N,40.03333333333333,N,24.583333333333332,25.016666666666666,N,48.53333333333333,N,N,29.266666666666666,N,37.083333333333336,N,N,N,26.4,N,42.88333333333333,N,N,52.38333333333333,N,N,27.866666666666667,N,N,N,51.86666666666667,N,38.18333333333333,43.766666666666666,N,N,N,N,N,27.15
Best Western Ville-Marie Montreal Hotel & Suites,22.266666666666666,N,57.166666666666664,31.816666666666666,51.233333333333334,N,18.733333333333334,36.71666666666667,28.566666666666666,24.033333333333335,46.93333333333333,45.083333333333336,N,23.333333333333332,37.53333333333333,21.816666666666666,28.566666666666666,23.95,N,52.05,N,N,25.766666666666666,21.1,45.166666666666664,N,N,N,24.3,N,26.883333333333333,N,N,55.9,24.55,19.35,24.033333333333335,N,42.21666666666667,N,55.38333333333333,N,27.183333333333334,41.266666666666666,N,N,22.666666666666668,22.483333333333334,18.75,33.31666666666667
Warwick Le Crystal - Montréal,N,N,58.81666666666667,34.21666666666667,52.266666666666666,N,19.95,34.333333333333336,20.9,20.816666666666666,53.46666666666667,60.983333333333334,N,N,35.15,22.033333333333335,37.1,20.5,10.8,54.1,N,N,23.383333333333333,18.166666666666668,49.95,N,N,10.5,18.116666666666667,N,32.95,10.716666666666667,N,51.78333333333333,N,18.4,20.816666666666666,N,36.6,N,52.483333333333334,N,N,38.88333333333333,33.81666666666667,N,30.766666666666666,16.683333333333334,19.966666666666665,41.85
Le Petit Hotel Vieux-Montréal | Saint-Paul,N,46.45,61.03333333333333,60.016666666666666,54.483333333333334,29.983333333333334,N,28.833333333333332,23.283333333333335,N,55.68333333333333,63.2,22.516666666666666,N,29.65,N,29.816666666666666,N,N,56.31666666666667,N,N,17.883333333333333,N,49.166666666666664,N,N,N,N,N,23.416666666666668,N,34.583333333333336,54.0,N,17.666666666666668,N,N,N,N,58.65,26.35,N,33.38333333333333,34.95,N,23.616666666666667,N,N,34.56666666666667
Hotel Universel Montreal,66.58333333333333,65.63333333333334,N,83.35,N,59.36666666666667,70.11666666666666,87.86666666666666,80.45,70.86666666666666,N,N,58.36666666666667,66.3,88.68333333333334,69.25,45.36666666666667,65.83333333333333,67.35,N,69.3,52.56666666666667,88.68333333333334,66.66666666666667,73.81666666666666,60.833333333333336,58.85,65.93333333333334,65.28333333333333,55.3,99.75,63.65,70.03333333333333,11.483333333333333,72.13333333333334,43.53333333333333,70.86666666666666,71.25,67.23333333333333,67.41666666666667,32.21666666666667,57.15,91.35,92.41666666666667,61.4,92.76666666666667,43.25,65.53333333333333,78.93333333333334,43.21666666666667
Sonder Maisonneuve,23.4,N,63.4,28.383333333333333,57.46666666666667,N,24.35,41.2,22.683333333333334,27.283333333333335,53.166666666666664,51.31666666666667,N,22.55,42.016666666666666,27.433333333333334,34.8,26.966666666666665,N,58.28333333333333,N,N,30.25,24.633333333333333,35.233333333333334,N,N,16.766666666666666,24.583333333333332,N,31.5,16.983333333333334,N,62.13333333333333,30.783333333333335,24.866666666666667,27.283333333333335,N,42.916666666666664,N,61.61666666666667,N,N,45.75,31.083333333333332,N,28.9,23.15,24.366666666666667,39.55
Le Westin Montreal,N,42.583333333333336,57.86666666666667,48.6,51.31666666666667,23.833333333333332,N,28.916666666666668,20.016666666666666,N,52.516666666666666,60.03333333333333,N,N,29.733333333333334,N,25.066666666666666,N,N,53.15,N,N,17.966666666666665,N,45.766666666666666,N,N,N,N,N,24.333333333333332,N,N,50.833333333333336,N,N,N,N,N,N,54.083333333333336,21.283333333333335,25.833333333333332,33.46666666666667,30.2,N,21.916666666666668,N,N,29.816666666666666
Montreal Marriott Chateau Champlain,N,N,60.65,41.4,54.1,N,N,27.183333333333334,20.05,N,55.3,62.81666666666667,N,N,28.0,N,34.583333333333336,N,N,55.93333333333333,N,N,16.233333333333334,N,52.516666666666666,N,N,N,N,N,20.516666666666666,N,N,53.61666666666667,N,20.233333333333334,N,N,38.43333333333333,N,54.516666666666666,N,N,31.733333333333334,N,N,32.733333333333334,N,N,39.333333333333336
Hyatt Centric Montreal,N,47.416666666666664,53.78333333333333,64.0,47.233333333333334,29.8,N,45.833333333333336,31.816666666666666,N,48.43333333333333,55.95,29.55,N,46.65,N,36.95,N,N,49.06666666666667,N,23.6,35.75,N,53.15,27.1,20.1,N,N,N,36.13333333333333,N,51.81666666666667,46.75,N,N,N,N,N,N,46.916666666666664,32.983333333333334,35.916666666666664,50.38333333333333,43.18333333333333,N,12.533333333333333,N,N,28.833333333333332
Novotel Montreal Centre,N,N,59.65,34.45,53.1,N,20.833333333333332,35.166666666666664,21.733333333333334,21.65,54.3,61.81666666666667,N,N,35.983333333333334,22.866666666666667,36.6,21.333333333333332,N,54.93333333333333,N,N,24.216666666666665,19.0,46.5,N,N,N,18.95,N,26.683333333333334,11.55,N,52.61666666666667,N,19.233333333333334,21.65,N,37.43333333333333,N,51.983333333333334,N,N,39.71666666666667,N,N,30.7,N,20.85,41.35
LHotel,N,44.06666666666667,59.35,49.28333333333333,52.8,N,N,27.783333333333335,19.133333333333333,N,54.0,61.516666666666666,N,N,28.6,N,29.85,N,N,54.63333333333333,N,N,16.833333333333332,N,46.983333333333334,N,N,N,N,N,23.45,N,30.916666666666668,52.31666666666667,N,N,N,N,N,N,55.75,N,24.95,32.333333333333336,34.983333333333334,N,22.75,N,N,34.6
Courtyard Montreal Downtown,N,38.03333333333333,52.93333333333333,45.96666666666667,46.38333333333333,N,N,33.61666666666667,24.183333333333334,N,47.583333333333336,55.1,N,N,34.43333333333333,N,28.033333333333335,N,N,48.21666666666667,N,N,22.666666666666668,N,40.06666666666667,16.583333333333332,N,N,N,N,31.1,N,N,45.9,N,N,N,N,30.716666666666665,N,48.86666666666667,N,20.333333333333332,38.166666666666664,24.766666666666666,22.933333333333334,24.916666666666668,N,N,27.916666666666668
Embassy Suites by Hilton Montreal,N,41.65,48.983333333333334,51.233333333333334,42.43333333333333,22.9,N,45.85,32.233333333333334,N,43.63333333333333,51.15,N,N,46.28333333333333,N,27.066666666666666,N,N,44.266666666666666,N,N,28.916666666666668,N,50.13333333333333,20.2,13.9,N,N,N,43.35,N,50.43333333333333,41.95,N,N,N,N,N,N,45.78333333333333,21.966666666666665,30.633333333333333,50.016666666666666,36.88333333333333,32.05,N,N,N,31.816666666666666
Fairfield by Marriott Montreal Downtown,12.666666666666666,43.56666666666667,46.96666666666667,52.516666666666666,40.416666666666664,24.816666666666666,10.6,47.13333333333333,35.233333333333334,N,41.61666666666667,49.13333333333333,23.433333333333334,N,47.95,N,30.9,N,N,42.25,N,21.833333333333332,33.38333333333333,N,54.35,22.116666666666667,15.183333333333334,N,N,14.516666666666667,44.63333333333333,N,47.25,39.93333333333333,24.883333333333333,N,N,N,N,N,43.68333333333333,23.883333333333333,37.483333333333334,51.68333333333333,38.61666666666667,36.516666666666666,9.3,N,13.833333333333334,25.6
Hotel Monville,N,39.71666666666667,54.63333333333333,47.65,48.083333333333336,N,N,32.05,22.416666666666668,N,49.28333333333333,56.8,N,N,32.86666666666667,N,24.15,N,N,49.916666666666664,N,N,21.1,N,42.15,N,N,N,N,N,29.333333333333332,N,N,47.6,N,N,N,N,N,N,50.93333333333333,N,28.233333333333334,36.6,29.283333333333335,N,26.25,N,N,28.9
Best Western Plus Montreal Downtown-Hotel Europa,N,N,61.016666666666666,35.13333333333333,54.46666666666667,N,18.3,35.55,21.733333333333334,23.016666666666666,55.666666666666664,63.18333333333333,N,N,36.36666666666667,21.383333333333333,35.766666666666666,23.516666666666666,N,56.3,N,N,24.6,20.666666666666668,41.85,N,N,N,20.316666666666666,N,24.783333333333335,N,N,53.983333333333334,N,20.6,23.016666666666666,N,38.8,N,62.583333333333336,N,N,40.1,N,N,29.866666666666667,N,18.316666666666666,40.516666666666666
