,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
"InterContinental Montreal, an IHG hotel",4.466666666666667,15.35,18.733333333333334,19.15,16.416666666666668,7.733333333333333,5.283333333333333,13.366666666666667,9.716666666666667,5.166666666666667,13.216666666666667,15.183333333333334,10.583333333333334,4.083333333333333,13.066666666666666,4.983333333333333,8.45,5.0,7.75,16.9,4.366666666666666,7.1,10.15,5.0,14.116666666666667,6.366666666666666,6.416666666666667,3.6166666666666667,5.516666666666667,5.65,10.083333333333334,5.616666666666666,18.633333333333333,14.116666666666667,3.216666666666667,7.316666666666666,5.166666666666667,5.1,15.45,2.7666666666666666,14.316666666666666,8.016666666666667,6.95,15.916666666666666,12.55,9.483333333333333,7.033333333333333,4.216666666666667,6.5,11.616666666666667
Hôtel Saint-Sulpice,N,17.733333333333334,20.8,21.533333333333335,18.483333333333334,10.116666666666667,4.5,15.433333333333334,11.333333333333334,7.233333333333333,15.283333333333333,17.25,12.966666666666667,N,15.133333333333333,7.05,10.516666666666667,7.066666666666666,9.983333333333333,18.966666666666665,7.066666666666666,9.483333333333333,10.966666666666667,N,16.383333333333333,8.75,8.8,5.683333333333334,7.583333333333333,8.033333333333333,10.9,7.683333333333334,21.016666666666666,16.183333333333334,3.5,9.383333333333333,7.233333333333333,8.716666666666667,17.516666666666666,4.833333333333333,16.383333333333333,10.4,8.75,17.133333333333333,14.616666666666667,10.533333333333333,9.1,N,7.316666666666666,13.683333333333334
"Vogue Hotel Montreal Downtown, Curio Collection by Hilton",8.066666666666666,12.4,20.016666666666666,16.2,17.85,4.466666666666667,8.9,14.966666666666667,7.916666666666667,8.183333333333334,15.166666666666666,16.2,7.483333333333333,7.683333333333334,14.666666666666666,8.583333333333334,9.05,8.6,8.516666666666667,18.083333333333332,6.416666666666667,5.9,10.166666666666666,8.6,12.783333333333333,3.0833333333333335,6.683333333333334,5.916666666666667,8.083333333333334,5.35,10.25,7.45,16.283333333333335,14.45,6.833333333333333,9.183333333333334,8.183333333333334,7.933333333333334,17.05,6.366666666666666,14.65,4.75,6.616666666666666,16.333333333333332,11.033333333333333,8.866666666666667,7.366666666666666,7.816666666666666,9.433333333333334,12.216666666666667
Novotel Montreal Airport,21.016666666666666,20.566666666666666,27.45,20.366666666666667,26.316666666666666,18.816666666666666,21.8,27.75,17.95,20.016666666666666,23.366666666666667,24.666666666666668,23.016666666666666,20.633333333333333,27.916666666666668,21.533333333333335,19.266666666666666,20.633333333333333,22.516666666666666,26.55,20.166666666666668,20.983333333333334,22.85,21.55,12.033333333333333,18.2,20.683333333333334,19.916666666666668,20.366666666666667,19.916666666666668,19.883333333333333,21.45,31.816666666666666,22.8,20.166666666666668,22.166666666666668,20.016666666666666,21.65,29.816666666666666,19.316666666666666,21.65,19.233333333333334,18.15,29.016666666666666,21.183333333333334,21.3,22.45,20.766666666666666,22.1,21.466666666666665
W Montreal,5.833333333333333,14.783333333333333,19.916666666666668,18.583333333333332,17.75,6.916666666666667,6.566666666666666,13.366666666666667,9.166666666666666,6.533333333333333,15.066666666666666,16.1,9.766666666666667,5.45,13.066666666666666,6.35,8.683333333333334,6.366666666666666,6.916666666666667,17.983333333333334,3.533333333333333,6.533333333333333,8.45,6.366666666666666,13.566666666666666,5.8,5.85,4.316666666666666,6.883333333333334,5.083333333333333,9.7,5.85,17.816666666666666,14.35,4.716666666666667,7.583333333333333,6.533333333333333,6.233333333333333,15.45,4.133333333333334,14.55,7.2,7.316666666666666,14.616666666666667,12.516666666666667,9.483333333333333,7.266666666666667,5.583333333333333,7.166666666666667,11.85
Hotel Terrasse Royale,15.283333333333333,9.883333333333333,26.566666666666666,8.816666666666666,24.4,10.2,16.116666666666667,21.733333333333334,12.3,15.4,21.716666666666665,22.75,12.8,14.9,21.433333333333334,15.8,11.466666666666667,15.816666666666666,15.733333333333333,24.633333333333333,13.633333333333333,12.45,17.383333333333333,15.816666666666666,7.466666666666667,9.483333333333333,13.233333333333333,13.133333333333333,15.3,12.55,16.2,14.666666666666666,21.6,21.0,14.05,16.216666666666665,15.4,15.15,23.816666666666666,13.583333333333334,18.716666666666665,10.616666666666667,12.216666666666667,23.55,10.5,15.083333333333334,12.733333333333333,15.033333333333333,16.65,14.633333333333333
Samesun Montreal Central,5.95,13.083333333333334,15.166666666666666,18.466666666666665,13.0,6.733333333333333,5.966666666666667,9.516666666666667,9.066666666666666,4.433333333333334,10.316666666666666,11.35,9.583333333333334,5.566666666666666,9.216666666666667,5.75,6.883333333333334,4.833333333333333,6.566666666666666,13.233333333333333,5.2,6.333333333333333,9.266666666666667,5.816666666666666,13.866666666666667,5.883333333333334,6.616666666666666,3.65,3.966666666666667,5.683333333333334,10.516666666666667,4.85,17.433333333333334,9.6,5.45,2.85,4.433333333333334,6.683333333333334,11.6,5.35,9.8,7.016666666666667,7.733333333333333,12.066666666666666,10.716666666666667,10.15,2.55,5.7,7.85,9.283333333333333
Delta Hotels by Marriott Montreal,6.533333333333333,13.3,18.616666666666667,17.1,16.45,5.366666666666666,7.366666666666666,13.783333333333333,9.683333333333334,6.916666666666667,13.766666666666667,14.8,8.216666666666667,6.15,13.483333333333333,7.05,7.65,7.066666666666666,7.25,16.683333333333334,4.883333333333334,4.983333333333333,9.833333333333334,7.066666666666666,14.55,4.516666666666667,5.633333333333334,4.65,6.816666666666666,4.066666666666666,11.083333333333334,6.183333333333334,16.266666666666666,13.05,5.3,7.916666666666667,6.916666666666667,6.4,15.866666666666667,4.833333333333333,13.25,5.65,8.7,16.0,10.516666666666667,10.866666666666667,5.966666666666667,6.283333333333333,8.583333333333334,10.816666666666666
Honeyrose Hotel Montreal A Tribute Portfolio Hotel,4.45,12.45,17.616666666666667,16.25,15.45,4.516666666666667,5.283333333333333,11.616666666666667,7.95,4.833333333333333,12.766666666666667,13.8,7.366666666666666,4.066666666666666,11.316666666666666,4.966666666666667,6.65,4.983333333333333,5.166666666666667,15.683333333333334,2.8,4.183333333333334,8.2,4.983333333333333,12.816666666666666,3.3333333333333335,4.483333333333333,2.566666666666667,4.733333333333333,2.9,9.45,4.1,15.466666666666667,12.05,3.216666666666667,5.833333333333333,4.833333333333333,4.316666666666666,13.7,2.75,12.25,4.8,7.066666666666666,14.166666666666666,9.566666666666666,9.233333333333333,4.966666666666667,4.2,6.5,9.816666666666666
Econo Lodge,6.833333333333333,13.183333333333334,15.416666666666666,18.566666666666666,13.25,6.833333333333333,6.9,9.416666666666666,9.95,5.45,10.566666666666666,11.6,9.683333333333334,6.45,9.116666666666667,6.633333333333334,6.983333333333333,5.566666666666666,7.3,13.483333333333333,6.15,6.433333333333334,10.15,6.7,14.75,5.983333333333333,7.35,4.533333333333333,4.85,5.783333333333333,11.4,5.533333333333333,17.533333333333335,9.85,6.383333333333334,4.133333333333334,5.45,7.566666666666666,11.5,6.1,10.05,7.116666666666666,8.616666666666667,11.966666666666667,10.816666666666666,11.033333333333333,2.75,6.583333333333333,8.733333333333333,9.75
