Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
63;30;356.72;1;15;7.37;12.2;77.7;41.90;64.3;1410.5;696.36;25.25;1041.77;178.14
64;30;232.79;1;15;7.70;12.2;77.7;43.55;64.3;1410.5;716.56;25.25;1041.77;219.65
65;30;383.45;1;15;7.40;12.2;77.7;42.25;64.3;1410.5;718.44;25.25;1041.77;201.89
66;30;272.76;1;15;7.17;12.2;77.7;41.03;64.3;1387.4;664.23;25.25;1041.77;187.48
67;30;259.33;1;15;7.33;12.2;77.7;41.81;64.3;1412.4;679.17;25.25;1041.77;239.74
68;30;407.19;1;15;7.23;12.2;77.7;41.44;64.3;1412.4;660.24;25.25;1041.77;210.86
69;30;262.73;1;15;7.27;12.2;77.7;41.53;64.3;1412.4;706.52;25.25;1041.77;180.27
70;30;139.91;1;15;7.43;12.2;77.7;42.37;64.3;1405.1;695.38;25.25;1041.77;163.53
71;30;172.04;1;15;7.37;12.2;77.7;42.14;64.3;1405.1;675.16;25.25;1041.77;171.88
72;30;226.71;1;15;7.10;12.2;77.7;40.75;64.3;1405.1;676.96;25.25;1041.77;188.39
73;30;316.78;1;15;7.17;12.2;77.7;41.26;64.3;1387.4;667.74;25.25;1041.77;242.88
74;30;193.00;1;15;7.10;12.2;77.7;41.11;64.3;1387.9;658.43;25.25;1041.77;195.06
75;30;272.84;1;15;6.83;12.2;77.7;39.80;64.3;1387.9;659.50;25.25;1041.77;221.17
76;30;246.81;1;15;7.00;12.2;77.7;40.34;64.3;1414.1;672.78;25.25;1041.77;213.78
77;30;377.55;1;15;7.10;12.2;77.7;40.88;64.3;1414.1;701.52;25.25;1041.77;185.26
78;30;145.75;1;15;7.43;12.2;77.7;42.18;64.3;1407.8;707.42;25.25;1041.77;151.31
79;30;126.48;1;15;7.23;12.2;77.7;41.40;64.3;1426.9;690.39;25.25;1046.97;140.20
80;30;489.61;1;15;6.83;12.2;77.7;39.79;64.3;1426.9;631.76;25.25;1046.97;168.25
