Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
24;Alternative Hostel of Old Montreal;4.5;35.75;8;45.1;714.8;35.75;4;3;374.4;0.00;4;3;340.4;0.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Place d'Armes|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
25;Auberge L'Apero;4.0;25.25;7;38.7;564.4;25.25;5;3;392.5;0.00;2;2;171.9;0.00;City Hall|Maisonneuve Monument - Montreal|L'original Art Gallery|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|Kondiaronk Belvedere;Walking|Walking|Walking
26;Alternative Hostel of Old Montreal;4.5;35.75;7;41.2;625.1;43.77;3;2;276.5;0.00;4;3;348.6;8.02;Place d'Armes|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Car
27;Auberge L'Apero;4.0;25.25;7;39.9;603.8;26.18;3;2;244.7;0.93;4;3;359.1;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Car;Place d'Armes|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
28;Auberge L'Apero;4.0;25.25;6;33.7;487.8;25.25;3;2;245.2;0.00;3;2;242.6;0.00;Maisonneuve Monument - Montreal|City Hall|Place d'Armes;Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking
29;Alternative Hostel of Old Montreal;4.5;35.75;6;36.5;507.3;57.78;3;2;255.3;16.00;3;2;252.0;6.03;Aldred Building - Montreal|Notre-Dame Basilica|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Car
30;Auberge L'Apero;4.0;25.25;6;34.1;549.1;26.18;3;2;244.7;0.93;3;3;304.4;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Car;Place d'Armes|Cathédrale Christ Church Cathedral|Palais des Congres;Walking|Walking|Walking|Walking
31;Alternative Hostel of Old Montreal;4.5;35.75;5;30.5;394.2;48.22;2;2;142.2;6.43;3;2;252.0;6.03;Maisonneuve Monument - Montreal|City Hall;Walking|Walking|Car;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Car
32;Alternative Hostel of Old Montreal;4.5;35.75;5;31.5;429.3;35.75;4;3;335.6;0.00;1;1;93.8;0.00;Maisonneuve Monument - Montreal|Place d'Armes|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral;Walking|Walking
33;Auberge L'Apero;4.0;25.25;5;30.0;409.4;25.25;3;2;246.0;0.00;2;2;163.4;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking;Place d'Armes|Cathédrale Christ Church Cathedral;Walking|Walking|Walking
34;Alternative Hostel of Old Montreal;4.5;35.75;5;31.4;382.0;65.75;0;0;0.0;0.00;5;2;382.0;30.00;;;Maisonneuve Monument - Montreal|Place d'Armes|L'original Art Gallery|Notre-Dame Basilica|Musée Marguerite-Bourgeoys;Walking|Walking|Walking|Walking|Walking|Walking
35;Auberge L'Apero;4.0;25.25;4;25.5;306.0;25.25;0;0;0.0;0.00;4;3;306.0;0.00;;;Kondiaronk Belvedere|Place d'Armes|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
36;Auberge L'Apero;4.0;25.25;4;25.8;333.8;25.25;4;3;333.8;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal|Leonard Cohen Mural|Place d'Armes;Walking|Walking|Walking|Walking|Walking;;
37;Alternative Hostel of Old Montreal;4.5;35.75;4;27.1;283.8;51.75;0;0;0.0;0.00;4;2;283.8;16.00;;;Maisonneuve Monument - Montreal|Place d'Armes|Notre-Dame Basilica|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
38;Alternative Hostel of Old Montreal;4.5;35.75;3;22.6;208.7;97.28;0;0;0.0;0.00;3;3;208.7;61.53;;;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal;Walking|Walking|Car|Car
39;Deluxe Suites Downtown Montreal;5.0;243.25;3;23.3;255.7;243.25;0;0;0.0;0.00;3;3;255.7;0.00;;;Place d'Armes|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Walking
41;Alternative Hostel of Old Montreal;4.5;35.75;2;17.7;187.0;41.80;2;2;187.0;6.05;0;0;0.0;0.00;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral;Bus|Walking|Car;;
42;Hôtel Place d'Armes Old Montreal;4.6;401.25;2;18.2;195.0;401.25;2;2;195.0;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal;Walking|Walking|Walking;;
43;LHotel;4.5;346.00;2;17.9;129.1;362.00;2;2;129.1;16.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|Notre-Dame Basilica;Walking|Walking|Walking;;
44;Deluxe Suites Downtown Montreal;5.0;243.25;2;18.4;197.2;243.25;2;2;197.2;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral;Walking|Walking|Bus;;
45;Hotel Monville;4.3;288.25;2;17.0;138.4;301.50;1;1;68.5;3.42;1;1;69.8;9.83;Maisonneuve Monument - Montreal;Car|Walking;Cathédrale Christ Church Cathedral;Car|Car
47;Alternative Hostel of Old Montreal;4.5;35.75;1;13.7;125.8;51.75;0;0;0.0;0.00;1;1;125.8;16.00;;;Notre-Dame Basilica;Walking|Walking
48;Auberge L'Apero;4.0;25.25;1;12.2;86.8;25.25;0;0;0.0;0.00;1;1;86.8;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
49;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;0;0;0.0;0.00;1;1;64.3;0.00;;;Maisonneuve Monument - Montreal;Walking|Walking
50;Renaissance Montreal Downtown Hotel;4.4;700.75;1;13.0;64.4;700.75;0;0;0.0;0.00;1;1;64.4;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
51;Renaissance Montreal Downtown Hotel;4.4;700.75;1;13.0;64.4;700.75;0;0;0.0;0.00;1;1;64.4;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
52;Le Square Phillips Hotel & Suites;4.6;458.25;1;13.4;66.9;458.25;0;0;0.0;0.00;1;1;66.9;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
53;Le Petit Hotel Vieux-Montréal | Saint-Paul;4.7;426.75;1;13.6;69.1;426.75;1;1;69.1;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
54;Hotel Casa Bella;2.8;140.25;1;9.8;70.4;150.62;0;0;0.0;0.00;1;1;70.4;10.37;;;Maisonneuve Monument - Montreal;Car|Car
55;Hotel le Coach;4.5;195.50;1;13.2;71.8;207.27;0;0;0.0;0.00;1;1;71.8;11.77;;;Cathédrale Christ Church Cathedral;Car|Car
56;Sonder Maisonneuve;4.7;228.25;1;13.9;101.8;228.25;0;0;0.0;0.00;1;1;101.8;0.00;;;Kondiaronk Belvedere;Walking|Walking
57;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.7;128.6;267.85;1;1;128.6;24.60;0;0;0.0;0.00;Notre-Dame Basilica;Walking|Car;;
58;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.2;73.2;256.48;1;1;73.2;13.23;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Car|Car;;
60;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.5;132.4;243.25;0;0;0.0;0.00;1;1;132.4;0.00;;;Kondiaronk Belvedere;Walking|Walking
