Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
30;Alternative Hostel of Old Montreal;4.5;35.75;5;31.2;465.6;35.75;2;2;196.9;0.00;3;3;268.7;0.00;Place d'Armes|Cathédrale Christ Church Cathedral;Walking|Walking|Walking;St. Patrick's Basilica|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking
31;Auberge L'Apero;4.0;25.25;5;30.0;499.7;25.25;1;1;111.4;0.00;4;3;388.3;0.00;Maisonneuve Monument - Montreal;Walking|Walking;St. Patrick's Basilica|Cathédrale Christ Church Cathedral|L'original Art Gallery|City Hall;Walking|Walking|Walking|Walking|Walking
32;Auberge L'Apero;4.0;25.25;4;25.8;427.5;25.25;2;2;185.7;0.00;2;2;241.8;0.00;Maisonneuve Monument - Montreal|La Guilde - Montreal;Walking|Walking|Walking;Place d'Armes|Bibliotheque et Archives Nationales du Quebec;Walking|Walking|Walking
33;Auberge L'Apero;4.0;25.25;4;25.2;332.2;25.25;1;1;90.0;0.00;3;2;242.2;0.00;Place d'Armes;Walking|Walking;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking
34;Alternative Hostel of Old Montreal;4.5;35.75;4;26.7;355.0;51.75;2;2;134.9;16.00;2;2;220.1;0.00;Maisonneuve Monument - Montreal|Notre-Dame Basilica;Walking|Walking|Walking;St. Patrick's Basilica|Place d'Armes;Walking|Walking|Walking
35;Alternative Hostel of Old Montreal;4.5;35.75;4;27.0;395.5;35.75;0;0;0.0;0.00;4;4;395.5;0.00;;;St. Patrick's Basilica|L'original Art Gallery|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking
36;Auberge L'Apero;4.0;25.25;4;25.4;409.3;25.25;1;1;164.6;0.00;3;2;244.7;0.00;Pont Jacques-Cartier - Montreal;Bus|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Walking
37;Auberge L'Apero;4.0;25.25;3;21.3;277.2;25.25;3;3;277.2;0.00;0;0;0.0;0.00;Place d'Armes|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking;;
38;Auberge L'Apero;4.0;25.25;3;21.0;242.2;25.25;0;0;0.0;0.00;3;2;242.2;0.00;;;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking
39;Alternative Hostel of Old Montreal;4.5;35.75;3;22.8;316.5;39.68;1;1;70.1;3.93;2;2;246.4;0.00;Maisonneuve Monument - Montreal;Walking|Car;St. Patrick's Basilica|L'original Art Gallery;Walking|Walking|Walking
40;Auberge L'Apero;4.0;25.25;3;21.3;254.0;25.25;3;2;254.0;0.00;0;0;0.0;0.00;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking;;
41;Alternative Hostel of Old Montreal;4.5;35.75;2;17.7;195.4;35.75;0;0;0.0;0.00;2;1;195.4;0.00;;;Maisonneuve Monument - Montreal|Aldred Building - Montreal;Walking|Walking|Walking
42;Deluxe Suites Downtown Montreal;5.0;243.25;2;18.4;200.0;243.25;1;1;90.0;0.00;1;1;110.0;0.00;Place d'Armes;Walking|Walking;Cathédrale Christ Church Cathedral;Walking|Walking
43;Hôtel Ac Montréal Centre-ville;4.0;366.75;2;16.4;142.9;375.07;1;1;69.8;3.97;1;1;73.1;4.35;Maisonneuve Monument - Montreal;Walking|Car;Cathédrale Christ Church Cathedral;Walking|Car
44;Le Petit Hotel Vieux-Montréal | Saint-Paul;4.7;426.75;2;17.8;153.7;433.25;1;1;69.1;0.00;1;1;84.6;6.50;Maisonneuve Monument - Montreal;Walking|Walking;Cathédrale Christ Church Cathedral;Car|Walking
