,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
St. Patrick's Basilica,N,N,37.56666666666667,40.4,27.5,N,N,26.166666666666668,21.716666666666665,N,27.9,36.18333333333333,N,N,27.0,N,N,N,N,29.35,N,N,N,N,27.65,N,N,N,N,N,N,N,N,26.766666666666666,N,N,N,N,N,N,N,N,N,45.483333333333334,N,N,17.95,N,N,28.266666666666666
McCord Stewart Museum,N,N,33.68333333333333,42.71666666666667,23.616666666666667,N,N,25.483333333333334,21.033333333333335,N,24.016666666666666,32.3,N,N,26.316666666666666,N,N,N,N,25.466666666666665,N,N,N,N,29.966666666666665,N,N,N,N,N,30.416666666666668,N,N,22.883333333333333,N,13.083333333333334,N,N,N,N,N,N,N,44.8,N,N,N,N,N,N
Habitat 67,N,N,59.93333333333333,73.96666666666667,50.86666666666667,N,N,N,N,N,50.266666666666666,59.55,N,N,N,N,N,N,N,52.71666666666667,N,N,N,N,62.21666666666667,N,N,N,N,N,N,N,N,49.13333333333333,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,55.833333333333336
L'original Art Gallery,N,N,40.733333333333334,42.766666666666666,30.666666666666668,N,N,26.533333333333335,24.083333333333332,N,31.066666666666666,39.35,N,N,27.366666666666667,N,N,N,N,32.516666666666666,N,N,N,N,30.016666666666666,N,N,N,N,N,N,N,N,29.933333333333334,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28.633333333333333
Musée de l'Holocauste Montréal,28.8,N,53.96666666666667,N,43.9,31.616666666666667,32.666666666666664,40.766666666666666,25.316666666666666,32.71666666666667,44.3,52.583333333333336,33.78333333333333,27.95,41.6,34.63333333333333,44.46666666666667,32.78333333333333,30.883333333333333,45.75,26.666666666666668,30.983333333333334,60.233333333333334,30.066666666666666,N,27.7,29.166666666666668,27.05,29.766666666666666,30.183333333333334,38.7,30.916666666666668,48.483333333333334,43.166666666666664,32.71666666666667,29.366666666666667,32.71666666666667,28.933333333333334,51.65,27.6,N,31.333333333333332,30.45,60.083333333333336,N,37.68333333333333,32.55,28.55,37.31666666666667,42.86666666666667
Leonard Cohen Mural,N,N,38.15,N,28.083333333333332,N,N,31.95,N,N,28.483333333333334,36.766666666666666,N,N,32.78333333333333,N,N,N,N,29.933333333333334,N,N,N,N,27.683333333333334,N,N,N,20.2,N,N,N,N,27.35,N,17.55,N,N,N,N,N,N,N,51.266666666666666,N,N,22.983333333333334,N,N,33.3
Musee D'Art Contemporain De Montreal,N,N,35.9,41.9,25.833333333333332,N,N,27.7,N,N,26.233333333333334,34.516666666666666,N,N,28.533333333333335,N,N,N,N,27.683333333333334,N,N,N,N,29.15,N,N,N,N,N,N,N,N,25.1,N,N,N,N,N,N,N,N,N,47.016666666666666,N,N,N,N,N,32.766666666666666
Palais des Congres,N,N,37.75,39.78333333333333,27.683333333333334,N,N,22.55,20.1,N,28.083333333333332,36.36666666666667,N,N,23.383333333333333,N,26.25,N,N,29.533333333333335,N,N,N,N,27.033333333333335,N,N,N,N,N,N,N,N,26.95,N,N,N,N,N,N,N,N,N,41.86666666666667,N,N,14.333333333333334,N,N,25.65
City Hall,N,N,38.46666666666667,42.5,28.4,24.116666666666667,N,23.266666666666666,23.816666666666666,N,28.8,37.083333333333336,N,N,24.1,N,26.966666666666665,N,N,30.25,N,N,N,N,29.75,20.2,N,N,N,N,N,N,N,27.666666666666668,N,N,N,N,N,N,N,N,N,42.583333333333336,N,N,N,N,N,26.366666666666667
Cathédrale Christ Church Cathedral,N,N,32.88333333333333,41.916666666666664,22.816666666666666,N,N,23.683333333333334,20.233333333333334,N,23.216666666666665,31.5,N,N,24.516666666666666,N,N,N,N,24.666666666666668,N,N,N,N,29.166666666666668,N,N,N,N,N,29.616666666666667,N,N,22.083333333333332,N,12.283333333333333,N,N,N,N,N,N,N,43.0,N,N,N,N,N,32.78333333333333
